timestamp,LF_angle,LF_velocity,RF_angle,RF_velocity,LB_angle,LB_velocity,RB_angle,RB_velocity,v_x,v_y,omega
0.010453,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.10449887000000001,32.0006,2.49971,32.0071,2.49926,32.0111,2.5,32.0176,2.49954,-1.39725,2.07258,-0.0156905
0.09997701,32.0068,2.49991,32.0089,2.49975,32.0103,2.5,32.0124,2.49985,-1.39845,2.07212,-0.00518541
0.10037086000000002,32.0093,2.49994,32.0107,2.49984,32.0116,2.5,32.013,2.4999,-1.40169,2.06999,-0.00341989
0.09911133000000003,32.0089,2.49995,32.0101,2.49987,32.0108,2.5,32.012,2.49992,-1.40025,2.07098,-0.00285472
0.10082887000000001,31.9764,2.49983,31.9802,2.49957,31.9825,2.5,31.9863,2.49973,-1.33931,2.11071,-0.00913844
0.10262393,31.9153,2.49976,31.9209,2.49936,31.9243,2.5,31.93,2.49961,-1.21306,2.18557,-0.013549
0.09887099999999999,31.7757,2.49972,31.7822,2.49926,31.7861,2.5,31.7926,2.49954,-0.899746,2.33203,-0.0153158
0.10490986999999999,32.3833,2.49988,32.386,2.49969,32.3876,2.5,32.3903,2.49981,-2.06331,1.41135,-0.00592305
0.09752488,32.3694,2.49987,32.3724,2.49966,32.3741,2.5,32.3771,2.49979,-2.04399,1.43917,-0.00656164
0.10237813000000001,32.3556,2.49985,32.359,2.49962,32.361,2.5,32.3644,2.49977,-2.02472,1.46612,-0.00752874
0.09876918,32.3191,2.49982,32.3232,2.49955,32.3255,2.5,32.3296,2.49972,-1.97114,1.53732,-0.00911385
0.09990689999999999,32.3073,2.49977,32.3125,2.49941,32.3155,2.5,32.3207,2.49964,-1.95507,1.55759,-0.0116715
0.10441211,32.279,2.49973,32.2853,2.49929,32.2889,2.5,32.2952,2.49957,-1.91241,1.60957,-0.0142368
0.10013484,32.2105,2.49964,32.2187,2.49908,32.2235,2.5,32.2317,2.49943,-1.80199,1.73209,-0.0189707
0.09926107999999999,32.0961,2.49939,32.1101,2.49841,32.1184,2.5,32.1324,2.49903,-1.60669,1.91403,-0.0331604
1.6521189999999986,32.2403,0.0,32.2458,0.0,32.249,0.0,32.2545,0.0,0.0,0.0,0.0
